2021-01-11 19:59:24,502 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB-ranges/imdb_ranges_model_based_budget_5.csv)
2021-01-11 19:59:24,525 [DEBUG]  Including SPN with table_set {'cast_info', 'title'} with sampling ratio(10000000 / 36244344)
2021-01-11 19:59:24,525 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2011 AND t.phonetic_code<11942 AND t.series_years<296 AND ci.role_id>2;
2021-01-11 19:59:24,532 [DEBUG]  		Latency: 1.63ms
2021-01-11 19:59:24,532 [DEBUG]  		True: 2727
2021-01-11 19:59:24,532 [DEBUG]  		Predicted: 3293.745776684689
2021-01-11 19:59:24,532 [DEBUG]  Q-Error was: 1.20782756754114
2021-01-11 19:59:24,532 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=20682 AND t.production_year>1993 AND t.series_years>644 AND ci.role_id=1;
2021-01-11 19:59:24,539 [DEBUG]  		Latency: 1.41ms
2021-01-11 19:59:24,539 [DEBUG]  		True: 4
2021-01-11 19:59:24,539 [DEBUG]  		Predicted: 20.876044171260805
2021-01-11 19:59:24,539 [DEBUG]  Q-Error was: 5.219011042815201
2021-01-11 19:59:24,539 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<11364 AND t.series_years<428 AND t.production_year=2009 AND ci.role_id<4;
2021-01-11 19:59:24,546 [DEBUG]  		Latency: 1.45ms
2021-01-11 19:59:24,546 [DEBUG]  		True: 29
2021-01-11 19:59:24,546 [DEBUG]  		Predicted: 476.92458187624925
2021-01-11 19:59:24,546 [DEBUG]  Q-Error was: 16.44567523711204
2021-01-11 19:59:24,546 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>850 AND t.production_year>2011 AND t.series_years>346 AND ci.role_id<2;
2021-01-11 19:59:24,552 [DEBUG]  		Latency: 1.45ms
2021-01-11 19:59:24,552 [DEBUG]  		True: 12036
2021-01-11 19:59:24,552 [DEBUG]  		Predicted: 22147.269987416083
2021-01-11 19:59:24,552 [DEBUG]  Q-Error was: 1.8400855755579995
2021-01-11 19:59:24,553 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>17321 AND t.production_year=1964 AND t.series_years<767 AND ci.role_id>2;
2021-01-11 19:59:24,559 [DEBUG]  		Latency: 1.43ms
2021-01-11 19:59:24,559 [DEBUG]  		True: 156
2021-01-11 19:59:24,559 [DEBUG]  		Predicted: 13.90517825111085
2021-01-11 19:59:24,559 [DEBUG]  Q-Error was: 11.218842159577317
2021-01-11 19:59:24,559 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years<474 AND t.production_year>1956 AND t.phonetic_code>14786 AND ci.role_id=2;
2021-01-11 19:59:24,565 [DEBUG]  		Latency: 1.44ms
