2021-08-27 18:22:25,238 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepdblight/imdb_light_model_based_budget_5.csv)
2021-08-27 18:22:25,255 [DEBUG]  Including SPN with table_set {'title', 'cast_info'} with sampling ratio(10000000 / 36244344)
2021-08-27 18:22:25,256 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2011 AND t.phonetic_code<11942 AND t.series_years<296 AND ci.role_id>2;,2727
2021-08-27 18:22:25,262 [INFO ]  Note: detected 80 virtual cores but NumExpr set to maximum of 64, check "NUMEXPR_MAX_THREADS" environment variable.
2021-08-27 18:22:25,262 [INFO ]  Note: NumExpr detected 80 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2021-08-27 18:22:25,263 [INFO ]  NumExpr defaulting to 8 threads.
2021-08-27 18:22:25,278 [DEBUG]  		Latency: 1.83ms
2021-08-27 18:22:25,278 [DEBUG]  		True: 2727
2021-08-27 18:22:25,278 [DEBUG]  		Predicted: 4049.907591916098
2021-08-27 18:22:25,278 [DEBUG]  Q-Error was: 1.4851146284987526
2021-08-27 18:22:25,278 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=20682 AND t.production_year>1993 AND t.series_years>644 AND ci.role_id=1;,4
2021-08-27 18:22:25,286 [DEBUG]  		Latency: 1.73ms
2021-08-27 18:22:25,286 [DEBUG]  		True: 4
2021-08-27 18:22:25,286 [DEBUG]  		Predicted: 1.0
2021-08-27 18:22:25,286 [DEBUG]  Q-Error was: 4.0
2021-08-27 18:22:25,286 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<11364 AND t.series_years<428 AND t.production_year=2009 AND ci.role_id<4;,29
2021-08-27 18:22:25,293 [DEBUG]  		Latency: 1.63ms
2021-08-27 18:22:25,294 [DEBUG]  		True: 29
2021-08-27 18:22:25,294 [DEBUG]  		Predicted: 638.7197099875004
2021-08-27 18:22:25,294 [DEBUG]  Q-Error was: 22.024817585775878
2021-08-27 18:22:25,294 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>850 AND t.production_year>2011 AND t.series_years>346 AND ci.role_id<2;,12036
2021-08-27 18:22:25,301 [DEBUG]  		Latency: 1.63ms
2021-08-27 18:22:25,301 [DEBUG]  		True: 12036
2021-08-27 18:22:25,301 [DEBUG]  		Predicted: 27499.446151129137
2021-08-27 18:22:25,301 [DEBUG]  Q-Error was: 2.284766213952238
2021-08-27 18:22:25,301 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>17321 AND t.production_year=1964 AND t.series_years<767 AND ci.role_id>2;,156
2021-08-27 18:22:25,309 [DEBUG]  		Latency: 1.38ms
2021-08-27 18:22:25,309 [DEBUG]  		True: 156
2021-08-27 18:22:25,309 [DEBUG]  		Predicted: 13.912134874535537
2021-08-27 18:22:25,309 [DEBUG]  Q-Error was: 11.213232290145413
2021-08-27 18:22:25,309 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years<474 AND t.production_year>1956 AND t.phonetic_code>14786 AND ci.role_id=2;,1010
2021-08-27 18:22:25,316 [DEBUG]  		Latency: 1.37ms
2021-08-27 18:22:25,316 [DEBUG]  		True: 1010
2021-08-27 18:22:25,316 [DEBUG]  		Predicted: 1010.5226703337514
2021-08-27 18:22:25,316 [DEBUG]  Q-Error was: 1.0005174953799518
2021-08-27 18:22:25,316 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=10311 AND t.production_year<2008 AND t.series_years<988 AND ci.role_id>1;,34
2021-08-27 18:22:25,323 [DEBUG]  		Latency: 1.41ms
2021-08-27 18:22:25,323 [DEBUG]  		True: 34
2021-08-27 18:22:25,323 [DEBUG]  		Predicted: 1.0
2021-08-27 18:22:25,323 [DEBUG]  Q-Error was: 34.0
2021-08-27 18:22:25,323 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2013 AND t.series_years<842 AND t.phonetic_code=348 AND ci.role_id>1;,5
